Date,Ticker,Action
2000-12-05,RHI,add
2000-12-11,ABKFQ-20,add
2000-12-11,AYE-20,add
2000-12-11,INTU,add
2000-12-11,MET,add
2000-12-11,SBL-20,add
2000-12-11,BHMSQ-20,remove
2000-12-11,CCK,remove
2000-12-11,GRA,remove
2000-12-11,OI,remove
2000-12-11,VO-20,remove
2000-12-12,KMI-20,add
2000-12-12,QLGC-20,add
2000-12-12,SYK,add
2000-12-12,VTSS-20,add
2000-12-12,NGH-20,remove
2000-12-12,PRD-20,remove
2000-12-12,RML-20,remove
2000-12-12,SMI-20,remove
2000-12-22,FLR,add
2000-12-22,MEE-20,remove
2001-01-02,AMCC-20,add
2001-01-02,JPM-20,remove
2001-01-16,NE,add
2001-01-30,JBL,add
2001-01-30,CGP-20,remove
2001-02-07,UVN-20,add
2001-02-07,UK-20,remove
2001-02-26,USB-20,remove
2001-02-27,FTR,add
2001-03-01,CTAS,add
2001-03-01,SUB-20,remove
2001-04-02,CE-20,add
2001-04-02,FISV,add
2001-04-02,CEN-20,remove
2001-04-02,OK-20,remove
2001-04-03,MIR-20,add
2001-04-03,BGG,remove
2001-05-14,PBG-20,add
2001-05-14,SXCL-20,remove
2001-06-04,MWW-20,add
2001-06-04,CIT-A,remove
2001-06-25,ZION,add
2001-06-25,AZA-A,remove
2001-06-29,JHF-20,add
2001-06-29,H-20,remove
2001-07-02,COL,add
2001-07-02,LDG-20,remove
2001-07-09,AWE-20,add
2001-07-09,PCH,remove
2001-08-03,PMCS-20,add
2001-08-03,OAT-20,remove
2001-08-06,FDO-20,add
2001-08-06,ETS-20,remove
2001-08-07,ZBH,add
2001-08-07,TKR,remove
2001-08-29,AGC-20,remove
2001-08-30,ABC,add
2001-08-30,CIEN,add
2001-08-30,OKE,remove
2001-09-04,IGT-20,add
2001-09-04,XL,add
2001-09-04,XL-20,add
2001-09-04,BVSN,remove
2001-09-17,TOS-20,remove
2001-09-21,IMNX-20,add
2001-10-10,EOP-20,add
2001-10-10,TE-20,add
2001-10-10,GX-20,remove
2001-10-10,TX-20,remove
2001-11-07,HMA-20,add
2001-11-07,GPU-20,remove
2001-11-30,NVDA,add
2001-11-30,ENRNQ-20,remove
2001-12-03,EQR,add
2001-12-03,NSI-20,remove
2001-12-13,RAL-20,remove
2001-12-14,GENZ-20,add
2001-12-17,JNY-20,add
2001-12-17,HM-20,remove
2002-01-02,WAT,add
2002-01-02,FMC,remove
2002-01-17,PCL-20,add
2002-01-17,KM-20,remove
2002-01-30,CB,add
2002-01-30,MEA-20,remove
2002-02-01,RATL-20,add
2002-02-01,NMK-20,remove
2002-02-11,MI-20,add
2002-02-11,WLL-20,remove
2002-05-06,FHN,add
2002-05-06,CPQ-20,remove
2002-05-13,TT-20,add
2002-05-13,SAPE-20,remove
2002-05-15,APOL-20,add
2002-05-15,BJS-20,add
2002-05-15,UAWGQ-20,remove
2002-05-15,WCOEQ-20,remove
2002-06-26,SPG,add
2002-06-26,CNXT-20,remove
2002-07-16,IMNX-20,remove
2002-07-17,NFB-20,add
2002-07-22,EA,add
2002-07-22,EBAY,add
2002-07-22,GS,add
2002-07-22,PFG,add
2002-07-22,PRU,add
2002-07-22,SDS-20,add
2002-07-22,UPS,add
2002-07-22,ABX,remove
2002-07-22,AL-20,remove
2002-07-22,INCLF-20,remove
2002-07-22,NRTLQ-20,remove
2002-07-22,PDG-20,remove
2002-07-22,RDS-A,remove
2002-07-22,UN,remove
2002-07-25,ANTM,add
2002-07-25,CNC-20,remove
