Date,CL=F,^DJI,^GSPC,^TNX,^VIX
2015-08-13,43.29999923706055,17402.509765625,2086.050048828125,2.130000114440918,13.609999656677246
2015-08-14,42.22999954223633,17408.25,2083.389892578125,2.188999891281128,13.489999771118164
2015-08-17,42.5,17477.400390625,2091.5400390625,2.196000099182129,12.829999923706055
2015-08-18,41.869998931884766,17545.1796875,2102.43994140625,2.1500000953674316,13.020000457763672
2015-08-19,42.619998931884766,17511.33984375,2096.919921875,2.196000099182129,13.789999961853027
2015-08-20,40.79999923706055,17348.73046875,2079.610107421875,2.128999948501587,15.25
2015-08-21,41.13999938964844,16990.689453125,2035.72998046875,2.0840001106262207,19.139999389648438
2015-08-24,40.45000076293945,16459.75,1970.8900146484375,2.053999900817871,28.030000686645508
2015-08-25,38.2400016784668,15871.349609375,1893.2099609375,1.996999979019165,40.7400016784668
2015-08-26,39.310001373291016,15666.4404296875,1867.6099853515625,2.132999897003174,36.02000045776367
2015-08-27,38.599998474121094,16285.509765625,1940.510009765625,2.171999931335449,30.31999969482422
2015-08-28,42.560001373291016,16654.76953125,1987.6600341796875,2.1679999828338623,26.100000381469727
2015-08-31,45.220001220703125,16643.009765625,1988.8699951171875,2.186000108718872,26.049999237060547
2015-09-01,49.20000076293945,16528.029296875,1972.1800537109375,2.200000047683716,28.43000030517578
2015-09-02,45.40999984741211,16058.349609375,1913.8499755859375,2.171999931335449,31.399999618530273
2015-09-03,46.25,16351.3798828125,1948.8599853515625,2.193000078201294,26.09000015258789
2015-09-04,46.75,16374.759765625,1951.1300048828125,2.1679999828338623,25.610000610351562
2015-09-08,46.04999923706055,16102.3798828125,1921.219970703125,2.128000020980835,27.799999237060547
2015-09-09,45.939998626708984,16492.6796875,1969.4100341796875,2.194000005722046,24.899999618530273
2015-09-10,44.150001525878906,16253.5703125,1942.0400390625,2.180999994277954,26.229999542236328
2015-09-11,45.91999816894531,16330.400390625,1952.2900390625,2.2219998836517334,24.3700008392334
2015-09-14,44.630001068115234,16433.08984375,1961.050048828125,2.183000087738037,23.200000762939453
2015-09-15,44.0,16370.9599609375,1953.030029296875,2.180000066757202,24.25
2015-09-16,44.59000015258789,16599.849609375,1978.0899658203125,2.2809998989105225,22.540000915527344
2015-09-17,47.150001525878906,16739.94921875,1995.31005859375,2.302999973297119,21.350000381469727
2015-09-18,46.900001525878906,16674.740234375,1990.199951171875,2.2170000076293945,21.139999389648438
2015-09-21,44.68000030517578,16384.580078125,1958.030029296875,2.130000114440918,22.280000686645508
2015-09-22,46.68000030517578,16510.189453125,1966.969970703125,2.2139999866485596,20.139999389648438
2015-09-23,45.83000183105469,16330.4697265625,1942.739990234375,2.125,22.440000534057617
2015-09-24,44.47999954223633,16279.8896484375,1938.760009765625,2.1440000534057617,22.1299991607666
2015-09-25,44.90999984741211,16201.3203125,1932.239990234375,2.119999885559082,23.469999313354492
2015-09-28,45.70000076293945,16314.669921875,1931.3399658203125,2.1679999828338623,23.6200008392334
2015-09-29,44.43000030517578,16001.8896484375,1881.77001953125,2.0950000286102295,27.6299991607666
2015-09-30,45.22999954223633,16049.1298828125,1884.0899658203125,2.053999900817871,26.829999923706055
2015-10-01,45.09000015258789,16284.7001953125,1920.030029296875,2.059999942779541,24.5
2015-10-02,44.7400016784668,16272.009765625,1923.8199462890625,2.0420000553131104,22.549999237060547
2015-10-05,45.540000915527344,16472.369140625,1951.3599853515625,1.9889999628067017,20.940000534057617
2015-10-06,46.2599983215332,16776.4296875,1987.050048828125,2.055999994277954,19.540000915527344
2015-10-07,48.529998779296875,16790.189453125,1979.9200439453125,2.0350000858306885,19.399999618530273
2015-10-08,47.810001373291016,16912.2890625,1995.8299560546875,2.062000036239624,18.399999618530273
2015-10-09,49.43000030517578,17050.75,2013.4300537109375,2.1080000400543213,17.420000076293945
2015-10-12,49.630001068115234,17084.490234375,2014.8900146484375,2.0989999771118164,17.079999923706055
2015-10-13,47.099998474121094,17131.859375,2017.4599609375,2.0899999141693115,16.170000076293945
2015-10-14,46.65999984741211,17081.890625,2003.68994140625,2.055000066757202,17.670000076293945
2015-10-15,46.63999938964844,16924.75,1994.239990234375,1.9809999465942383,18.030000686645508
2015-10-16,46.380001068115234,17141.75,2023.8599853515625,2.0230000019073486,16.049999237060547
2015-10-19,47.2599983215332,17215.970703125,2033.1099853515625,2.0230000019073486,15.050000190734863
2015-10-20,45.88999938964844,17230.5390625,2033.6600341796875,2.0280001163482666,14.979999542236328
2015-10-21,45.54999923706055,17217.109375,2030.77001953125,2.071000099182129,15.75
2015-10-22,45.20000076293945,17168.609375,2018.93994140625,2.0299999713897705,16.700000762939453
2015-10-23,45.380001068115234,17489.16015625,2052.510009765625,2.0250000953674316,14.449999809265137
2015-10-26,44.599998474121094,17646.69921875,2075.14990234375,2.0829999446868896,14.460000038146973
2015-10-27,43.97999954223633,17623.05078125,2071.179931640625,2.058000087738037,15.289999961853027
2015-10-28,43.20000076293945,17581.4296875,2065.889892578125,2.0280001163482666,15.430000305175781
2015-10-29,45.939998626708984,17779.51953125,2090.35009765625,2.0920000076293945,14.329999923706055
2015-10-30,46.060001373291016,17755.80078125,2089.409912109375,2.1730000972747803,14.609999656677246
2015-11-02,46.59000015258789,17663.5390625,2079.360107421875,2.1510000228881836,15.069999694824219
2015-11-03,46.13999938964844,17828.759765625,2104.050048828125,2.187000036239624,14.149999618530273
2015-11-04,47.900001525878906,17918.150390625,2109.7900390625,2.2200000286102295,14.539999961853027
2015-11-05,46.31999969482422,17867.580078125,2102.31005859375,2.2300000190734863,15.510000228881836
2015-11-06,45.20000076293945,17863.4296875,2099.929931640625,2.244999885559082,15.050000190734863
2015-11-09,44.290000915527344,17910.330078125,2099.199951171875,2.3329999446868896,14.329999923706055
2015-11-10,43.869998931884766,17730.48046875,2078.580078125,2.3420000076293945,16.520000457763672
2015-11-11,44.209999084472656,17758.2109375,2081.719970703125,2.322000026702881,15.289999961853027
2015-11-12,42.93000030517578,17702.220703125,2075.0,2.3380000591278076,16.059999465942383
2015-11-13,41.75,17448.0703125,2045.969970703125,2.319000005722046,18.3700008392334
2015-11-16,40.7400016784668,17245.240234375,2023.0400390625,2.2799999713897705,20.079999923706055
2015-11-17,41.7400016784668,17483.009765625,2053.18994140625,2.2730000019073486,18.15999984741211
2015-11-18,40.66999816894531,17489.5,2050.43994140625,2.260999917984009,18.84000015258789
2015-11-19,40.75,17737.16015625,2083.580078125,2.2690000534057617,16.850000381469727
2015-11-20,40.540000915527344,17732.75,2081.239990234375,2.247999906539917,16.989999771118164
2015-11-23,40.38999938964844,17823.810546875,2089.169921875,2.26200008392334,15.470000267028809
2015-11-24,41.75,17792.6796875,2086.590087890625,2.25,15.619999885559082
2015-11-25,42.869998931884766,17812.189453125,2089.139892578125,2.243000030517578,15.930000305175781
2015-11-27,43.040000915527344,17813.390625,2088.8701171875,2.2320001125335693,15.1899995803833
2015-11-30,41.709999084472656,17813.390625,2090.110107421875,2.2249999046325684,15.119999885559082
2015-12-01,41.650001525878906,17719.919921875,2080.409912109375,2.2179999351501465,16.1299991607666
2015-12-02,41.849998474121094,17888.349609375,2102.6298828125,2.1549999713897705,14.670000076293945
2015-12-03,39.939998626708984,17729.6796875,2079.510009765625,2.177999973297119,15.90999984741211
2015-12-04,41.08000183105469,17477.669921875,2049.6201171875,2.3299999237060547,18.110000610351562
2015-12-07,39.970001220703125,17847.630859375,2091.68994140625,2.2750000953674316,14.8100004196167
2015-12-08,37.650001525878906,17730.509765625,2077.070068359375,2.2249999046325684,15.84000015258789
2015-12-09,37.5099983215332,17568.0,2063.590087890625,2.23799991607666,17.600000381469727
2015-12-10,37.15999984741211,17492.30078125,2047.6199951171875,2.2079999446868896,19.610000610351562
2015-12-11,36.7599983215332,17574.75,2052.22998046875,2.239000082015991,19.34000015258789
2015-12-14,35.619998931884766,17265.2109375,2012.3699951171875,2.1389999389648438,24.389999389648438
2015-12-15,36.310001373291016,17368.5,2021.93994140625,2.2249999046325684,22.729999542236328
2015-12-16,37.349998474121094,17524.91015625,2043.4100341796875,2.2679998874664307,20.950000762939453
2015-12-17,35.52000045776367,17749.08984375,2073.070068359375,2.2869999408721924,17.860000610351562
2015-12-18,34.95000076293945,17495.83984375,2041.8900146484375,2.23799991607666,18.940000534057617
2015-12-21,34.72999954223633,17128.55078125,2005.550048828125,2.1989998817443848,20.700000762939453
2015-12-22,34.7400016784668,17251.619140625,2021.1500244140625,2.197000026702881,18.700000762939453
2015-12-23,36.13999938964844,17417.26953125,2038.969970703125,2.239000082015991,16.600000381469727
2015-12-24,37.5,17602.609375,2064.2900390625,2.2639999389648438,15.569999694824219
2015-12-28,38.099998474121094,17552.169921875,2060.989990234375,2.243000030517578,15.739999771118164
2015-12-29,36.810001373291016,17528.26953125,2056.5,2.2249999046325684,16.90999984741211
2015-12-30,37.869998931884766,17720.98046875,2078.360107421875,2.306999921798706,16.079999923706055
2015-12-31,36.599998474121094,17603.869140625,2063.360107421875,2.302999973297119,17.290000915527344
2016-01-04,37.040000915527344,17425.029296875,2043.93994140625,2.2690000534057617,18.209999084472656
2016-01-05,36.7599983215332,17148.939453125,2012.6600341796875,2.244999885559082,20.700000762939453
2016-01-06,35.970001220703125,17158.66015625,2016.7099609375,2.247999906539917,19.34000015258789
2016-01-07,33.970001220703125,16906.509765625,1990.260009765625,2.177000045776367,20.59000015258789
2016-01-08,33.27000045776367,16514.099609375,1943.0899658203125,2.1530001163482666,24.989999771118164
2016-01-11,33.15999984741211,16346.4501953125,1922.030029296875,2.130000114440918,27.010000228881836
2016-01-12,31.40999984741211,16398.5703125,1923.6700439453125,2.1579999923706055,24.299999237060547
2016-01-13,30.440000534057617,16516.220703125,1938.6800537109375,2.1019999980926514,22.469999313354492
2016-01-14,30.479999542236328,16151.41015625,1890.280029296875,2.065999984741211,25.219999313354492
